2022-11-02 16:03:11 startup archives unpack
2022-11-02 16:03:11 install virtualbox-guest-utils:amd64 <none> 5.2.42-dfsg-0~ubuntu1.18.04.1
2022-11-02 16:03:11 status half-installed virtualbox-guest-utils:amd64 5.2.42-dfsg-0~ubuntu1.18.04.1
2022-11-02 16:03:11 status triggers-pending ureadahead:amd64 0.100.0-21
2022-11-02 16:03:11 status triggers-pending systemd:amd64 237-3ubuntu10.56
2022-11-02 16:03:11 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-02 16:03:11 status unpacked virtualbox-guest-utils:amd64 5.2.42-dfsg-0~ubuntu1.18.04.1
2022-11-02 16:03:11 status unpacked virtualbox-guest-utils:amd64 5.2.42-dfsg-0~ubuntu1.18.04.1
2022-11-02 16:03:11 startup packages configure
2022-11-02 16:03:11 configure virtualbox-guest-utils:amd64 5.2.42-dfsg-0~ubuntu1.18.04.1 <none>
2022-11-02 16:03:11 status unpacked virtualbox-guest-utils:amd64 5.2.42-dfsg-0~ubuntu1.18.04.1
2022-11-02 16:03:11 status unpacked virtualbox-guest-utils:amd64 5.2.42-dfsg-0~ubuntu1.18.04.1
2022-11-02 16:03:11 status half-configured virtualbox-guest-utils:amd64 5.2.42-dfsg-0~ubuntu1.18.04.1
2022-11-02 16:03:11 status installed virtualbox-guest-utils:amd64 5.2.42-dfsg-0~ubuntu1.18.04.1
2022-11-02 16:03:11 trigproc ureadahead:amd64 0.100.0-21 <none>
2022-11-02 16:03:11 status half-configured ureadahead:amd64 0.100.0-21
2022-11-02 16:03:11 status installed ureadahead:amd64 0.100.0-21
2022-11-02 16:03:11 trigproc systemd:amd64 237-3ubuntu10.56 <none>
2022-11-02 16:03:11 status half-configured systemd:amd64 237-3ubuntu10.56
2022-11-02 16:03:11 status installed systemd:amd64 237-3ubuntu10.56
2022-11-02 16:03:11 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-02 16:03:11 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-02 16:03:11 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-13 00:43:02 startup archives unpack
2022-11-13 00:43:02 install pigz:amd64 <none> 2.4-1
2022-11-13 00:43:02 status half-installed pigz:amd64 2.4-1
2022-11-13 00:43:02 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-13 00:43:02 status unpacked pigz:amd64 2.4-1
2022-11-13 00:43:02 status unpacked pigz:amd64 2.4-1
2022-11-13 00:43:02 install containerd.io:amd64 <none> 1.6.9-1
2022-11-13 00:43:02 status half-installed containerd.io:amd64 1.6.9-1
2022-11-13 00:43:04 status unpacked containerd.io:amd64 1.6.9-1
2022-11-13 00:43:04 status unpacked containerd.io:amd64 1.6.9-1
2022-11-13 00:43:05 install docker-ce-cli:amd64 <none> 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:05 status half-installed docker-ce-cli:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:10 status unpacked docker-ce-cli:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:10 status unpacked docker-ce-cli:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:11 install docker-ce:amd64 <none> 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:11 status half-installed docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:11 status triggers-pending ureadahead:amd64 0.100.0-21
2022-11-13 00:43:11 status triggers-pending ureadahead:amd64 0.100.0-21
2022-11-13 00:43:11 status triggers-pending systemd:amd64 237-3ubuntu10.56
2022-11-13 00:43:15 status unpacked docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:15 status unpacked docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:15 install docker-ce-rootless-extras:amd64 <none> 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:15 status half-installed docker-ce-rootless-extras:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:15 status unpacked docker-ce-rootless-extras:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:15 status unpacked docker-ce-rootless-extras:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:15 install docker-compose-plugin:amd64 <none> 2.12.2~ubuntu-bionic
2022-11-13 00:43:15 status half-installed docker-compose-plugin:amd64 2.12.2~ubuntu-bionic
2022-11-13 00:43:17 status unpacked docker-compose-plugin:amd64 2.12.2~ubuntu-bionic
2022-11-13 00:43:17 status unpacked docker-compose-plugin:amd64 2.12.2~ubuntu-bionic
2022-11-13 00:43:17 install docker-scan-plugin:amd64 <none> 0.21.0~ubuntu-bionic
2022-11-13 00:43:17 status half-installed docker-scan-plugin:amd64 0.21.0~ubuntu-bionic
2022-11-13 00:43:17 status unpacked docker-scan-plugin:amd64 0.21.0~ubuntu-bionic
2022-11-13 00:43:17 status unpacked docker-scan-plugin:amd64 0.21.0~ubuntu-bionic
2022-11-13 00:43:18 install libltdl7:amd64 <none> 2.4.6-2
2022-11-13 00:43:18 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.6
2022-11-13 00:43:18 status half-installed libltdl7:amd64 2.4.6-2
2022-11-13 00:43:18 status unpacked libltdl7:amd64 2.4.6-2
2022-11-13 00:43:18 status unpacked libltdl7:amd64 2.4.6-2
2022-11-13 00:43:18 startup packages configure
2022-11-13 00:43:18 configure containerd.io:amd64 1.6.9-1 <none>
2022-11-13 00:43:18 status unpacked containerd.io:amd64 1.6.9-1
2022-11-13 00:43:18 status unpacked containerd.io:amd64 1.6.9-1
2022-11-13 00:43:18 status half-configured containerd.io:amd64 1.6.9-1
2022-11-13 00:43:18 status installed containerd.io:amd64 1.6.9-1
2022-11-13 00:43:18 configure docker-ce-rootless-extras:amd64 5:20.10.21~3-0~ubuntu-bionic <none>
2022-11-13 00:43:18 status unpacked docker-ce-rootless-extras:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 status half-configured docker-ce-rootless-extras:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 status installed docker-ce-rootless-extras:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 configure docker-scan-plugin:amd64 0.21.0~ubuntu-bionic <none>
2022-11-13 00:43:18 status unpacked docker-scan-plugin:amd64 0.21.0~ubuntu-bionic
2022-11-13 00:43:18 status half-configured docker-scan-plugin:amd64 0.21.0~ubuntu-bionic
2022-11-13 00:43:18 status installed docker-scan-plugin:amd64 0.21.0~ubuntu-bionic
2022-11-13 00:43:18 configure libltdl7:amd64 2.4.6-2 <none>
2022-11-13 00:43:18 status unpacked libltdl7:amd64 2.4.6-2
2022-11-13 00:43:18 status half-configured libltdl7:amd64 2.4.6-2
2022-11-13 00:43:18 status installed libltdl7:amd64 2.4.6-2
2022-11-13 00:43:18 configure docker-compose-plugin:amd64 2.12.2~ubuntu-bionic <none>
2022-11-13 00:43:18 status unpacked docker-compose-plugin:amd64 2.12.2~ubuntu-bionic
2022-11-13 00:43:18 status half-configured docker-compose-plugin:amd64 2.12.2~ubuntu-bionic
2022-11-13 00:43:18 status installed docker-compose-plugin:amd64 2.12.2~ubuntu-bionic
2022-11-13 00:43:18 configure docker-ce-cli:amd64 5:20.10.21~3-0~ubuntu-bionic <none>
2022-11-13 00:43:18 status unpacked docker-ce-cli:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 status half-configured docker-ce-cli:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 status installed docker-ce-cli:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 configure pigz:amd64 2.4-1 <none>
2022-11-13 00:43:18 status unpacked pigz:amd64 2.4-1
2022-11-13 00:43:18 status half-configured pigz:amd64 2.4-1
2022-11-13 00:43:18 status installed pigz:amd64 2.4-1
2022-11-13 00:43:18 configure docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic <none>
2022-11-13 00:43:18 status unpacked docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 status unpacked docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 status unpacked docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:18 status unpacked docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:19 status half-configured docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:20 status installed docker-ce:amd64 5:20.10.21~3-0~ubuntu-bionic
2022-11-13 00:43:20 trigproc libc-bin:amd64 2.27-3ubuntu1.6 <none>
2022-11-13 00:43:20 status half-configured libc-bin:amd64 2.27-3ubuntu1.6
2022-11-13 00:43:20 status installed libc-bin:amd64 2.27-3ubuntu1.6
2022-11-13 00:43:20 trigproc systemd:amd64 237-3ubuntu10.56 <none>
2022-11-13 00:43:20 status half-configured systemd:amd64 237-3ubuntu10.56
2022-11-13 00:43:20 status installed systemd:amd64 237-3ubuntu10.56
2022-11-13 00:43:20 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-13 00:43:20 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-13 00:43:21 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-13 00:43:21 trigproc ureadahead:amd64 0.100.0-21 <none>
2022-11-13 00:43:21 status half-configured ureadahead:amd64 0.100.0-21
2022-11-13 00:43:22 status installed ureadahead:amd64 0.100.0-21
2022-11-13 00:48:10 startup archives unpack
2022-11-13 00:48:10 install binutils-common:amd64 <none> 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status half-installed binutils-common:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-13 00:48:10 status unpacked binutils-common:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status unpacked binutils-common:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 install libbinutils:amd64 <none> 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:10 status half-installed libbinutils:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status unpacked libbinutils:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status unpacked libbinutils:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 install binutils-x86-64-linux-gnu:amd64 <none> 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:10 status half-installed binutils-x86-64-linux-gnu:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 status unpacked binutils-x86-64-linux-gnu:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 status unpacked binutils-x86-64-linux-gnu:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 install binutils:amd64 <none> 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 status half-installed binutils:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 status unpacked binutils:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 status unpacked binutils:amd64 2.30-21ubuntu1~18.04.7
2022-11-13 00:48:11 install libc-dev-bin:amd64 <none> 2.27-3ubuntu1.6
2022-11-13 00:48:11 status half-installed libc-dev-bin:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:11 status unpacked libc-dev-bin:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:11 status unpacked libc-dev-bin:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:11 install linux-libc-dev:amd64 <none> 4.15.0-196.207
2022-11-13 00:48:11 status half-installed linux-libc-dev:amd64 4.15.0-196.207
2022-11-13 00:48:11 status unpacked linux-libc-dev:amd64 4.15.0-196.207
2022-11-13 00:48:11 status unpacked linux-libc-dev:amd64 4.15.0-196.207
2022-11-13 00:48:11 install libc6-dev:amd64 <none> 2.27-3ubuntu1.6
2022-11-13 00:48:11 status half-installed libc6-dev:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:11 status unpacked libc6-dev:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:11 status unpacked libc6-dev:amd64 2.27-3ubuntu1.6
2022-11-13 00:48:11 install gcc-7-base:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:11 status half-installed gcc-7-base:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:11 status unpacked gcc-7-base:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:11 status unpacked gcc-7-base:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:11 install libisl19:amd64 <none> 0.19-1
2022-11-13 00:48:11 status half-installed libisl19:amd64 0.19-1
2022-11-13 00:48:11 status unpacked libisl19:amd64 0.19-1
2022-11-13 00:48:11 status unpacked libisl19:amd64 0.19-1
2022-11-13 00:48:11 install libmpc3:amd64 <none> 1.1.0-1
2022-11-13 00:48:11 status half-installed libmpc3:amd64 1.1.0-1
2022-11-13 00:48:11 status unpacked libmpc3:amd64 1.1.0-1
2022-11-13 00:48:11 status unpacked libmpc3:amd64 1.1.0-1
2022-11-13 00:48:11 install cpp-7:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:11 status half-installed cpp-7:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:12 status unpacked cpp-7:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:12 status unpacked cpp-7:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:12 install cpp:amd64 <none> 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:12 status half-installed cpp:amd64 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:12 status unpacked cpp:amd64 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:12 status unpacked cpp:amd64 4:7.4.0-1ubuntu2.3
2022-11-13 00:48:12 install libcc1-0:amd64 <none> 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status half-installed libcc1-0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libcc1-0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libcc1-0:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 install libgomp1:amd64 <none> 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status half-installed libgomp1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libgomp1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libgomp1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 install libitm1:amd64 <none> 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status half-installed libitm1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libitm1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libitm1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 install libatomic1:amd64 <none> 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status half-installed libatomic1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libatomic1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:12 status unpacked libatomic1:amd64 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 install libasan4:amd64 <none> 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status half-installed libasan4:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libasan4:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 status unpacked libasan4:amd64 7.5.0-3ubuntu1~18.04
2022-11-13 00:48:13 install liblsan0:amd64 <none> 8.4.0-1ubuntu1~18.04
2022-11-13 00:48:13 status half-installed liblsan0:amd64 8.4.0-1ubuntu1~18.04
